ParticipantNumber,FOC_0,FOC_1,FOC_10,FOC_11,cooperativeness_0,cooperativeness_1,cooperativeness_10,cooperativeness_11,rewardFairness_0,rewardFairness_1,rewardFairness_10,rewardFairness_11,S1_CoPresence_0,S1_CoPresence_1,S1_CoPresence_10,S1_CoPresence_11,S2_Attention_0,S2_Attention_1,S2_Attention_10,S2_Attention_11,S3_Message_0,S3_Message_1,S3_Message_10,S3_Message_11,S4_Affection_0,S4_Affection_1,S4_Affection_10,S4_Affection_11,S5_Emotion_0,S5_Emotion_1,S5_Emotion_10,S5_Emotion_11,S6_Behavior_0,S6_Behavior_1,S6_Behavior_10,S6_Behavior_11,SPQ_0,SPQ_1,SPQ_10,SPQ_11,SPQ_SectionAverage_0,SPQ_SectionAverage_1,SPQ_SectionAverage_10,SPQ_SectionAverage_11
P01,3.9,4.2,8.45,8.61111111111111,3.55,3.45,8.35,8.666666666666666,6.5,6.8,8.7,8.5,40,41,39,42,36,33,34,31,7,9,39,38,10,11,38,35,35,39,38,35,40,38,35,32,168,171,223,213,28.0,28.5,37.16666666666666,35.5
P02,9.0,9.0,9.0,8.277777777777779,8.6,7.65,9.0,8.166666666666666,9.0,8.9,8.6,7.777777777777778,42,42,26,39,26,27,20,18,28,35,38,32,34,33,29,40,32,11,16,21,37,36,6,32,199,184,135,182,33.166666666666664,30.666666666666668,22.5,30.33333333333333
P03,6.333333333333333,7.9,6.75,7.666666666666667,5.055555555555555,6.5,6.666666666666667,7.777777777777778,7.666666666666667,7.7,6.833333333333333,8.333333333333334,34,36,26,40,9,31,10,26,25,32,14,35,25,34,18,33,32,30,22,29,26,38,30,38,151,201,120,201,25.166666666666668,33.5,20.0,33.5
P04,6.666666666666667,8.95,8.25,8.88888888888889,6.666666666666667,8.95,8.666666666666666,8.944444444444445,8.0,9.0,8.0,8.88888888888889,42,42,35,42,19,26,21,29,14,37,14,40,9,33,8,36,14,27,8,21,34,42,27,42,132,207,113,210,22.0,34.5,18.83333333333333,35.0
P05,8.5,9.0,8.9,8.95,8.5,8.6,8.95,8.95,8.8,9.0,9.0,9.0,30,32,20,35,17,24,14,20,38,40,38,37,17,21,33,32,16,27,13,14,28,28,29,30,146,172,147,168,24.33333333333333,28.666666666666668,24.5,28.0
P06,8.7,9.0,9.0,8.95,5.55,8.05,8.95,8.85,8.9,8.95,9.0,9.0,38,40,41,40,30,23,28,24,36,40,40,37,30,39,35,35,34,38,38,39,37,38,42,40,205,218,224,215,34.166666666666664,36.333333333333336,37.333333333333336,35.833333333333336
P07,5.823529411764706,6.933333333333334,6.777777777777778,6.9,5.705882352941177,6.733333333333333,6.611111111111111,6.25,5.294117647058823,6.4,5.388888888888889,6.1,23,25,27,23,21,24,18,20,20,10,20,20,16,22,26,12,22,23,31,26,23,24,31,31,125,128,153,132,20.83333333333333,21.33333333333333,25.5,22.0
P08,2.294117647058824,5.2,3.7222222222222223,6.35,2.3529411764705883,6.266666666666667,4.222222222222222,6.5,4.0,9.0,5.722222222222222,6.95,9,39,8,42,16,25,17,30,6,38,7,32,6,16,16,21,10,21,10,24,9,41,6,38,56,180,64,187,9.333333333333334,30.0,10.666666666666666,31.166666666666668
P09,1.0,1.25,9.0,8.68421052631579,1.0,1.2,8.95,8.789473684210526,8.9,9.0,9.0,8.947368421052632,14,42,23,40,12,25,16,17,18,34,20,37,4,4,4,4,6,6,6,6,6,30,11,37,60,141,80,141,10.0,23.5,13.333333333333334,23.5
P10,1.2,1.95,8.95,9.0,1.0,1.0,8.95,8.473684210526315,8.4,7.4,9.0,8.947368421052632,30,30,29,28,25,25,24,29,34,24,38,38,16,17,16,15,27,32,25,27,32,30,31,33,164,158,163,170,27.33333333333333,26.33333333333333,27.166666666666668,28.33333333333333
P11,5.526315789473684,5.65,5.1875,7.2,5.052631578947368,4.65,5.6875,7.35,5.947368421052632,5.6,5.1875,6.9,35,41,32,33,27,21,16,29,35,36,19,33,24,29,24,30,25,33,33,32,23,32,32,39,169,192,156,196,28.166666666666668,32.0,26.0,32.666666666666664
P12,4.894736842105263,4.95,5.0625,5.7,2.526315789473684,1.0,3.3125,4.0,4.842105263157895,4.8,4.75,4.95,24,33,20,32,27,26,23,24,24,18,14,27,14,15,16,14,21,18,17,21,29,29,23,28,139,139,113,146,23.166666666666668,23.166666666666668,18.83333333333333,24.33333333333333
P13,5.3125,7.947368421052632,8.0625,8.88888888888889,5.9375,7.736842105263157,8.125,8.944444444444445,6.375,8.052631578947368,7.875,8.333333333333334,25,40,42,42,21,30,26,28,23,36,31,38,24,36,32,38,26,42,36,40,26,40,42,42,145,224,209,228,24.166666666666668,37.333333333333336,34.833333333333336,38.0
P14,6.375,6.7368421052631575,5.875,7.388888888888889,4.625,6.157894736842105,6.4375,7.444444444444445,5.25,5.2105263157894735,6.0,6.0,35,34,30,35,22,24,24,22,17,24,21,26,11,17,13,24,17,25,28,33,22,25,26,33,124,149,142,173,20.666666666666668,24.83333333333333,23.666666666666668,28.83333333333333
P15,3.8,4.923076923076923,7.8,7.368421052631579,3.8,4.6923076923076925,7.75,7.368421052631579,5.0,5.615384615384615,7.75,7.368421052631579,42,38,40,42,18,26,30,30,26,28,36,37,28,24,32,32,32,14,32,26,24,26,24,32,170,156,194,199,28.33333333333333,26.0,32.333333333333336,33.166666666666664
P16,6.5,5.461538461538462,7.2,6.684210526315789,5.85,3.8461538461538463,6.2,6.368421052631579,6.95,5.923076923076923,6.85,6.631578947368421,22,34,17,35,16,21,19,21,21,29,24,31,12,20,21,25,27,25,30,30,28,29,30,32,126,158,141,174,21.0,26.33333333333333,23.5,29.0
P17,6.4,6.0,6.315789473684211,6.333333333333333,5.45,5.1,6.421052631578948,6.0,6.7,6.15,6.052631578947368,6.083333333333333,31,32,32,26,14,27,22,18,32,32,38,36,30,32,28,23,26,28,22,27,29,28,30,30,162,179,172,160,27.0,29.83333333333333,28.666666666666668,26.666666666666668
P18,7.5,7.1,8.210526315789474,7.666666666666667,6.15,4.25,8.210526315789474,7.25,7.4,6.85,8.210526315789474,7.583333333333333,38,37,42,36,16,18,27,16,32,18,38,19,22,24,28,18,30,26,16,24,30,26,20,22,168,149,171,135,28.0,24.83333333333333,28.5,22.5
P19,9.0,9.0,9.0,8.789473684210526,1.947368421052632,1.4,6.933333333333334,8.578947368421053,8.631578947368421,8.6,5.0,8.157894736842104,30,30,27,28,17,21,15,16,40,25,13,10,16,16,6,10,24,25,21,22,42,42,24,19,169,159,106,105,28.166666666666668,26.5,17.666666666666668,17.5
P20,1.0,4.7,7.8,9.0,1.0,2.35,7.866666666666666,9.0,8.947368421052632,9.0,8.666666666666666,8.736842105263158,18,30,18,38,24,18,32,29,8,34,38,13,4,14,4,15,11,11,14,28,6,14,18,35,71,121,124,158,11.833333333333334,20.166666666666668,20.666666666666668,26.33333333333333
P21,9.0,9.0,9.0,9.0,8.5,9.0,9.0,9.0,8.555555555555555,9.0,9.0,9.0,38,42,31,42,12,38,14,38,38,39,30,40,37,40,20,40,38,40,20,42,42,41,26,42,205,240,141,244,34.166666666666664,40.0,23.5,40.66666666666666
P22,7.777777777777778,8.0,8.0,8.0,7.5,8.052631578947368,8.0,7.65,7.277777777777778,7.894736842105263,7.65,8.0,36,31,20,36,21,24,24,25,33,32,34,34,22,14,17,26,29,31,28,36,36,36,36,36,177,168,159,193,29.5,28.0,26.5,32.166666666666664
P23,5.473684210526316,6.230769230769231,5.7,6.133333333333334,3.263157894736842,5.538461538461538,7.85,6.266666666666667,6.578947368421052,7.230769230769231,7.65,6.8,25,28,32,38,13,24,29,26,13,26,38,32,25,14,32,15,22,19,18,19,16,32,42,36,114,143,191,166,19.0,23.83333333333333,31.83333333333333,27.666666666666668
P24,9.0,8.538461538461538,8.95,9.0,1.1578947368421053,5.538461538461538,9.0,8.733333333333333,7.894736842105263,8.615384615384615,8.6,8.333333333333334,34,40,38,38,28,16,24,21,25,24,40,32,10,5,17,18,6,14,6,7,38,27,28,29,141,126,153,145,23.5,21.0,25.5,24.166666666666668
P25,8.95,9.0,8.9,9.0,8.9,9.0,9.0,9.0,8.6,9.0,8.7,8.210526315789474,34,42,42,38,24,21,34,30,39,28,40,40,23,32,23,21,31,40,30,16,39,42,42,42,190,205,211,187,31.666666666666668,34.166666666666664,35.166666666666664,31.166666666666668
P26,3.6,4.3,6.8,7.2105263157894735,2.65,3.35,6.6,5.947368421052632,7.1,6.9,6.6,5.473684210526316,30,40,20,37,22,23,16,18,18,21,19,34,22,27,17,18,33,26,18,26,34,36,27,36,159,173,117,169,26.5,28.83333333333333,19.5,28.166666666666668
P27,5.533333333333333,2.8947368421052637,8.2,6.0588235294117645,5.333333333333333,1.2105263157894737,8.3,7.0588235294117645,6.466666666666667,3.842105263157895,8.3,6.705882352941177,17,33,9,28,18,18,16,17,4,20,9,21,16,19,8,19,10,22,6,20,28,25,15,26,93,137,63,131,15.5,22.83333333333333,10.5,21.83333333333333
P28,7.333333333333333,7.157894736842105,9.0,9.0,6.2,1.0,9.0,8.823529411764707,8.466666666666667,6.315789473684211,9.0,8.941176470588236,39,42,24,38,24,15,28,20,18,23,20,10,8,16,12,10,13,36,6,10,27,28,26,24,129,160,116,112,21.5,26.666666666666668,19.33333333333333,18.666666666666668
P29,7.470588235294118,8.5,8.823529411764707,7.333333333333333,1.1764705882352942,1.4444444444444444,7.823529411764706,7.933333333333334,8.941176470588236,8.944444444444445,7.823529411764706,7.133333333333334,32,30,8,34,15,12,14,16,9,16,12,16,8,4,8,4,23,6,6,31,25,24,23,24,112,92,71,125,18.666666666666668,15.333333333333334,11.833333333333334,20.83333333333333
P30,6.411764705882353,7.666666666666667,7.294117647058823,8.2,5.0,7.666666666666667,7.294117647058823,8.4,5.294117647058823,5.833333333333333,8.647058823529411,8.933333333333334,33,42,38,37,22,32,26,30,14,30,32,32,8,30,24,28,13,12,20,22,32,36,38,42,122,182,178,191,20.33333333333333,30.33333333333333,29.666666666666668,31.83333333333333
P31,5.333333333333333,5.071428571428571,6.588235294117647,6.333333333333333,3.4444444444444446,3.7857142857142856,6.176470588235294,6.4,5.277777777777778,5.5,6.0,6.333333333333333,37,33,40,39,19,19,16,18,18,19,16,14,26,28,23,24,30,32,29,29,29,27,28,26,159,158,152,150,26.5,26.33333333333333,25.33333333333333,25.0
P32,1.7777777777777777,2.4285714285714284,8.176470588235293,8.2,1.9444444444444444,2.2142857142857144,8.176470588235293,8.0,7.277777777777778,6.928571428571429,7.9411764705882355,7.333333333333333,30,39,38,38,18,23,24,24,24,28,30,32,16,22,17,28,32,25,30,32,30,35,34,38,150,172,173,192,25.0,28.666666666666668,28.83333333333333,32.0
